,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,fav
61,0.63,0.608,,-7.975,0.0347,0.647,0.17,0.165,0.237,131.062,4.0,fav
62,0.484,0.372,11.0,-11.411,0.0317,0.931,0.448,0.244,0.193,133.857,4.0,fav
63,0.317,0.123,4.0,-22.737,0.062,0.995,0.956,0.1,0.0383,71.869,3.0,fav
64,0.525,0.855,1.0,-5.336,0.0546,0.138,0.692,0.061,0.218,95.965,4.0,fav
65,0.488,0.348,7.0,-10.467,0.0399,0.882,2.32e-06,0.0877,0.108,78.075,4.0,fav
66,0.498,0.673,4.0,-11.206,0.0333,0.72,0.465,0.0645,0.27,112.017,3.0,fav
67,0.603,0.563,4.0,-9.959,0.0344,0.657,0.116,0.128,0.186,112.059,4.0,fav
68,0.65,0.449,8.0,-9.2,0.0471,0.522,0.0702,0.0906,0.416,136.091,4.0,fav
69,0.609,0.789,11.0,-5.565,0.0466,0.403,0.0774,0.0446,0.724,144.05,4.0,fav
70,0.195,0.25,5.0,-14.277,0.0341,0.994,0.967,0.134,0.0376,78.099,4.0,fav
71,0.543,0.316,4.0,-11.666,0.0307,0.95,0.672,0.0978,0.178,124.946,4.0,fav
72,0.4,0.785,,-8.098,0.0378,0.041,0.335,0.922,0.397,102.625,3.0,fav
73,0.456,0.942,5.0,-5.825,0.0902,0.00455,0.637,0.973,0.383,139.557,4.0,fav
74,0.431,0.895,6.0,-7.286,0.0507,0.0891,0.6,0.583,0.483,84.562,4.0,fav
75,0.408,0.791,11.0,-7.653,0.0448,0.0178,0.724,0.973,0.497,137.816,4.0,fav
76,0.51,0.43,2.0,-11.649,0.0297,0.789,0.35,0.711,0.217,148.598,4.0,fav
77,0.378,0.698,1.0,-8.977,0.0441,0.254,0.218,0.551,0.426,149.601,4.0,fav
78,0.273,0.9,11.0,-7.034,0.0775,0.15,0.135,0.7,0.36,146.101,4.0,fav
79,0.464,0.694,,-10.377,0.051,0.679,0.489,0.723,0.207,135.047,4.0,fav
80,0.476,0.848,6.0,-8.272,0.0612,0.0568,0.472,0.415,0.445,138.422,4.0,fav
81,0.422,0.545,5.0,-10.622,0.0596,0.733,0.397,0.235,0.266,137.038,3.0,fav
82,0.38,0.597,7.0,-9.633,0.0524,0.61,0.0702,0.369,0.0989,121.948,4.0,fav
83,0.542,0.448,,-11.766,0.042,0.531,0.00145,0.198,0.218,81.393,4.0,fav
84,0.657,0.541,9.0,-10.883,0.0296,0.757,0.588,0.0589,0.568,99.022,4.0,fav
85,0.432,0.947,2.0,-5.442,0.0943,0.00406,0.737,0.0777,0.386,147.981,4.0,fav
86,0.727,0.475,9.0,-12.468,0.0616,0.644,0.894,0.434,0.112,126.046,4.0,fav
87,0.596,0.912,,-6.74,0.211,0.156,0.794,0.584,0.371,110.014,4.0,fav
88,0.528,0.63,7.0,-13.168,0.0611,0.925,0.858,0.101,0.267,169.48,4.0,fav
89,0.427,0.991,5.0,-3.831,0.212,0.0762,0.827,0.167,0.104,109.875,4.0,fav
90,0.593,0.643,7.0,-10.995,0.0351,0.519,0.774,0.102,0.363,116.03,4.0,fav
91,0.536,0.837,1.0,-7.494,0.0558,0.332,0.787,0.1,0.26,145.001,4.0,fav
92,0.368,0.686,2.0,-8.332,0.0735,0.702,0.777,0.124,0.588,182.262,5.0,fav
93,0.54,0.615,10.0,-9.264,0.034,0.594,0.799,0.12,0.239,93.17,3.0,fav
94,0.642,0.475,2.0,-11.404,0.0294,0.727,0.781,0.12,0.453,103.956,3.0,fav
95,0.451,0.603,2.0,-11.407,0.0798,0.773,0.645,0.118,0.349,137.981,4.0,fav
96,0.519,0.612,5.0,-7.1,0.0254,0.181,7.08e-06,0.105,0.158,134.046,4.0,fav
97,0.54,0.773,4.0,-6.327,0.0405,0.103,0.861,0.0839,0.417,149.882,1.0,fav
98,0.45,0.661,5.0,-8.537,0.0411,0.396,0.0362,0.0912,0.476,173.909,4.0,fav
99,0.483,0.473,3.0,-10.539,0.0358,0.959,0.00944,0.114,0.315,116.021,4.0,fav
100,0.459,0.824,,-6.301,0.036,0.139,0.902,0.118,0.526,146.009,4.0,fav
101,0.505,0.496,,-9.428,0.0366,0.645,0.285,0.0887,0.164,160.125,3.0,fav
102,0.503,0.495,,-10.251,0.0328,0.655,0.373,0.0934,0.133,140.032,4.0,fav
103,0.441,0.851,1.0,-6.365,0.168,0.152,0.738,0.109,0.366,171.977,4.0,fav
104,0.452,0.423,1.0,-10.165,0.0357,0.774,0.00446,0.0952,0.157,116.133,4.0,fav
105,0.52,0.436,,-11.508,0.0355,0.865,0.0651,0.123,0.114,126.053,4.0,fav
106,0.47,0.7,5.0,-8.6,0.0425,0.782,0.244,0.255,0.446,167.749,4.0,fav
107,0.502,0.656,9.0,-7.34,0.0435,0.799,0.109,0.0895,0.275,110.157,4.0,fav
108,0.488,0.514,8.0,-12.021,0.0309,0.794,0.00508,0.0979,0.104,114.079,5.0,fav
109,0.304,0.795,7.0,-6.023,0.0554,0.55,0.724,0.118,0.35,79.884,4.0,fav
110,0.55,0.74,1.0,-8.83,0.0274,0.172,0.663,0.0584,0.522,122.277,4.0,fav
111,0.745,0.789,6.0,-7.132,0.0917,0.281,0.769,0.108,0.744,120.061,4.0,fav
112,0.419,0.725,7.0,-7.729,0.0359,0.418,0.128,0.0776,0.338,149.991,4.0,fav
113,0.527,0.779,9.0,-7.638,0.0508,0.504,0.803,0.0996,0.239,126.026,4.0,fav
114,0.402,0.835,9.0,-6.367,0.043,0.0558,0.18,0.103,0.69,157.066,4.0,fav
115,0.648,0.745,1.0,-8.546,0.0358,0.63,0.712,0.0901,0.589,126.008,4.0,fav
116,0.583,0.441,4.0,-10.318,0.0325,0.868,0.557,0.117,0.343,135.019,3.0,fav
117,0.554,0.851,11.0,-7.61,0.0368,0.608,0.912,0.24,0.516,116.978,4.0,fav
118,0.49,0.646,,-8.956,0.04,0.702,0.821,0.106,0.266,122.96,4.0,fav
119,0.464,0.513,9.0,-7.683,0.0284,0.702,0.000115,0.174,0.308,117.935,3.0,fav
120,0.397,0.722,7.0,-7.599,0.037,0.00562,0.0284,0.118,0.403,81.296,4.0,fav
121,0.526,0.689,8.0,-7.275,0.0304,0.168,0.0371,0.0699,0.409,168.109,4.0,fav
122,0.374,0.563,5.0,-8.374,0.0291,0.669,0.75,0.156,0.292,80.911,4.0,fav
123,0.545,0.304,4.0,-9.066,0.0317,0.929,0.00421,0.095,0.158,71.942,5.0,fav
124,0.534,0.447,10.0,-9.104,0.0304,0.629,0.522,0.117,0.315,161.91,3.0,fav
125,0.294,0.33,9.0,-10.751,0.0282,0.918,0.522,0.112,0.167,180.884,4.0,fav
126,0.546,0.945,11.0,-6.014,0.0486,0.00192,0.377,0.982,0.74,126.263,4.0,fav
127,0.405,0.789,3.0,-7.03,0.0344,0.0339,0.855,0.5,0.417,125.344,4.0,fav
128,0.304,0.795,7.0,-6.023,0.0554,0.55,0.724,0.118,0.35,79.884,4.0,fav
129,0.55,0.74,1.0,-8.83,0.0274,0.172,0.663,0.0584,0.522,122.277,4.0,fav
130,0.745,0.789,6.0,-7.132,0.0917,0.281,0.769,0.108,0.744,120.061,4.0,fav
131,0.419,0.725,7.0,-7.729,0.0359,0.418,0.128,0.0776,0.338,149.991,4.0,fav
132,0.527,0.779,9.0,-7.638,0.0508,0.504,0.803,0.0996,0.239,126.026,4.0,fav
133,0.402,0.835,9.0,-6.367,0.043,0.0558,0.18,0.103,0.69,157.066,4.0,fav
134,0.648,0.745,1.0,-8.546,0.0358,0.63,0.712,0.0901,0.589,126.008,4.0,fav
135,0.583,0.441,4.0,-10.318,0.0325,0.868,0.557,0.117,0.343,135.019,3.0,fav
136,0.554,0.851,11.0,-7.61,0.0368,0.608,0.912,0.24,0.516,116.978,4.0,fav
137,0.49,0.646,,-8.956,0.04,0.702,0.821,0.106,0.266,122.96,4.0,fav
138,0.464,0.513,9.0,-7.683,0.0284,0.702,0.000115,0.174,0.308,117.935,3.0,fav
139,0.304,0.795,7.0,-6.023,0.0554,0.55,0.724,0.118,0.35,79.884,4.0,fav
140,0.55,0.74,1.0,-8.83,0.0274,0.172,0.663,0.0584,0.522,122.277,4.0,fav
141,0.745,0.789,6.0,-7.132,0.0917,0.281,0.769,0.108,0.744,120.061,4.0,fav
142,0.419,0.725,7.0,-7.729,0.0359,0.418,0.128,0.0776,0.338,149.991,4.0,fav
143,0.527,0.779,9.0,-7.638,0.0508,0.504,0.803,0.0996,0.239,126.026,4.0,fav
144,0.402,0.835,9.0,-6.367,0.043,0.0558,0.18,0.103,0.69,157.066,4.0,fav
145,0.648,0.745,1.0,-8.546,0.0358,0.63,0.712,0.0901,0.589,126.008,4.0,fav
146,0.583,0.441,4.0,-10.318,0.0325,0.868,0.557,0.117,0.343,135.019,3.0,fav
